sample	K00344	K14161	K02112	K00997	K19338	K07266	K22409	K20975	K00974	K09471	K21062	K02054	K01555	K11354	K07588	K05964	K15586	K11894	K21703	K00452	K00844	K00647	K03742	K13028	K15916	K11080	K02410	K02858	K10004	K15256	K19221	K07331	K10531	K07664	K00263	K22104	K07692	K02304	K15789	K13609	K03675	K06042	K08683	K16371	K19222	K02386	K02523	K08097	K01963	K18930	K01950	K03973	K18905	K08305	K23463	K22879	K04796	K01182	K00956	K00630	K06870	K01903	K01551	K14840	K00700	K01554	K00299	K20483	K03328	K15408	K11995	K22552	K07518	K06013	K07480	K21829	K10560	K18609	K12284	K08972	K08301	K03558	K15372	K00023	K07723	K02116	K18991	K22319	K02920	K05523	K20497	K00262	K00864	K07788	K00604	K00041	K03149	K05275	K02049	K17205	K05556	K22214	K13355	K00817	K08697	K06377	K17105	K02502	K03519	K00324	K00166	K03855	K17592	K09908	K14260	K18123	K05782	K03415	K18990	K12209	K10945	K22894	K02783	K02481	K06941	K00435	K14301	K22553	K06163	K02911	K08641	K02196	K08977	K16740	K07010	K16244	K22747	K18399	K06937	K09947	K00253	K02899	K15024	K03043	K20444	K16874	K19048	K13039	K14215	K14540	K11902	K07776	K08321	K24136	K09252	K06879	K21008	K01817	K14446	K03535	K02394	K05603	K07457	K03538	K00275	K23414	K01628	K03978	K06048	K10199	K03057	K07743	K20265	K12942	K03930	K05580	K11082	K07505	K07991	K02935	K12255	K00284	K03593	K08137	K18297	K00364	K00278	K00426	K16255	K01118	K14584	K24017	K07667	K11072	K11910	K11163	K10544	K00036	K22478	K02639	K06207	K01585	K16212	K01710	K18929	K05535	K01822	K04651	K06287	K02471	K06906	K23237	K10563	K04116	K03631	K05798	K23275	K00384	K05795	K23167	K00970	K13061	K00130	K14709	K21134	K15974	K05895	K11074	K03743	K19507	K00737	K00884	K18933	K00208	K08227	K16904	K04761	K10005	K11495	K11895	K21563	K02551	K13635	K00266	K22549	K07306	K21801	K22185	K10018	K02422	K03059	K08311	K00123	K15530	K21689	K23148	K16091	K00276	K21019	K09988	K08234	K18996	K01997	K03040	K05531	K23988	K24119	K03812	K09024	K00666	K07313	K19116	K12373	K00626	K01929	K07102	K21564	K15429	K02558	K06952	K01738	K21822	K07675	K09140	K05521	K13670	K10843	K12251	K01814	K12981	K06865	K22085	K08152	K00526	K08264	K02024	K16563	K02529	K16554	K02418	treatment	Group1	Group2
R34	603	27	459	100	0	0	0	8	0	0	3	123	77	0	191	0	0	0	53	80	9	0	315	0	0	0	168	0	7	18	103	0	0	0	0	5	6	48	0	0	0	26	99	0	86	29	92	38	133	0	0	29	15	296	0	0	0	0	22	0	0	84	173	0	477	0	23	26	20	46	0	0	0	205	35	0	0	10	0	138	20	111	81	58	0	38	0	0	0	0	0	22	99	164	71	16	464	192	386	0	0	0	0	202	0	0	0	70	79	104	0	0	0	5	10	0	6	0	0	0	6	88	0	414	699	7	0	0	17	65	129	5	0	0	302	0	0	0	633	4	47	168	0	822	82	86	0	0	0	0	18	5	17	20	0	0	0	69	41	0	110	62	5	0	286	0	50	177	753	0	0	3	72	0	37	0	0	0	0	211	0	0	974	0	21	0	59	320	0	54	0	0	118	57	0	37	37	411	0	0	635	0	0	74	87	0	12	48	330	89	0	0	206	24	415	0	0	259	0	0	0	0	0	0	0	0	4	0	154	0	0	50	0	261	8	5	46	5	0	31	10	29	0	66	0	0	0	15	0	8	0	72	0	0	0	0	0	0	0	19	57	0	2976	1718	0	0	0	0	0	145	46	0	232	427	39	113	27	0	29	27	163	0	38	0	22	0	8	62	102	0	0	7	0	319	29	21	0	14	133	27	N0_C	N0	C
R35	794	81	623	129	0	0	0	22	19	91	6	46	120	0	284	0	0	0	47	123	9	0	213	9	62	0	183	0	19	8	97	0	0	15	0	5	17	151	0	0	0	30	160	0	184	36	112	115	115	0	42	79	0	570	0	35	0	0	157	0	0	168	271	0	678	18	16	11	0	0	0	18	0	381	32	0	0	0	0	212	98	186	131	101	2	60	0	0	0	0	39	26	102	0	68	0	491	294	500	0	0	0	0	258	0	0	0	82	268	122	12	1	0	0	7	14	49	0	19	0	10	228	0	114	804	55	0	0	21	62	133	8	0	0	291	0	54	0	421	33	117	198	0	790	239	34	0	0	0	0	39	0	40	6	32	0	5	82	78	0	183	21	4	0	312	0	32	211	814	0	0	7	33	3	0	0	0	0	0	290	10	0	1172	0	0	0	45	557	0	44	0	7	125	121	0	11	73	562	0	4	858	45	0	14	100	0	16	59	329	148	0	0	215	0	601	0	0	438	0	0	17	0	0	0	0	0	43	0	81	0	0	20	0	301	0	3	58	0	0	35	9	74	0	58	0	38	0	14	0	0	0	143	0	0	0	0	0	29	0	12	95	6	3488	1829	0	0	0	0	0	120	23	0	225	544	178	125	13	0	39	67	98	0	7	0	0	0	25	39	78	0	0	4	0	468	0	0	0	203	0	49	N0_C	N0	C
R36	716	50	633	102	0	0	0	0	0	16	21	251	104	0	244	0	0	0	53	108	11	0	285	0	0	0	155	0	33	9	89	0	0	15	16	0	0	67	11	0	0	9	58	0	117	53	174	55	178	30	0	25	0	287	24	0	0	0	15	0	0	182	91	0	387	0	14	40	0	0	0	0	0	349	51	0	0	0	10	129	50	95	40	59	0	60	0	0	0	0	0	36	201	106	127	0	500	286	468	0	0	0	0	190	0	0	0	47	162	80	0	6	0	0	0	95	23	0	0	0	0	80	0	399	687	26	0	0	0	49	172	18	0	62	245	0	0	0	493	18	63	167	0	696	408	80	0	0	0	0	0	18	19	11	174	0	0	59	28	0	138	14	15	0	345	0	71	148	680	0	0	0	19	0	35	0	0	0	0	229	0	0	819	0	0	0	14	342	0	31	0	0	106	35	0	69	20	544	0	0	738	0	0	14	109	0	12	42	259	101	0	0	120	0	491	0	0	410	0	0	0	0	24	1	0	0	7	25	100	0	0	0	20	265	42	4	29	0	0	48	8	0	0	31	0	0	0	23	0	10	0	110	84	0	0	0	0	0	13	4	78	0	3346	0	0	0	0	0	0	357	55	0	391	848	205	147	0	3	57	30	168	0	24	0	0	14	18	79	37	0	0	5	6	382	23	0	0	34	189	14	N0_C	N0	C
R37	635	120	566	164	0	0	0	28	0	93	31	86	94	0	290	0	0	0	12	124	9	17	266	23	13	0	203	14	17	8	88	0	0	29	0	18	11	96	9	0	0	44	101	0	139	24	129	105	178	30	32	81	0	608	0	21	0	0	0	0	0	45	318	0	586	12	27	46	0	0	0	0	0	404	51	0	0	0	0	228	49	101	80	129	0	51	0	0	0	0	0	48	92	0	85	0	385	269	595	0	0	0	0	173	0	0	0	82	178	146	0	6	0	0	23	18	41	0	0	0	0	287	0	156	776	31	0	0	8	67	196	13	0	0	266	0	26	0	474	41	81	192	0	717	111	70	0	0	0	0	11	33	30	0	39	0	0	96	5	0	143	20	11	0	317	0	64	123	788	0	0	0	56	7	9	0	0	15	0	251	0	0	1003	0	0	0	21	529	0	62	0	0	116	70	0	11	33	489	0	0	793	57	0	11	45	0	16	55	307	146	0	0	217	0	560	0	0	425	0	0	0	0	0	0	0	0	20	0	72	0	0	0	0	361	0	0	64	21	0	34	0	28	0	0	0	0	0	8	0	12	0	72	0	0	0	0	0	28	22	20	148	0	3090	1886	0	0	0	0	0	103	57	0	177	623	128	113	0	0	0	83	84	0	30	0	0	0	29	53	63	0	0	7	0	405	57	0	0	94	0	63	N0_C	N0	C
R38	609	64	601	159	0	0	0	46	0	0	18	61	144	0	246	0	0	0	30	129	14	13	204	12	14	0	192	88	7	15	139	0	0	0	0	0	0	85	0	0	0	49	136	0	116	62	104	77	97	28	0	115	0	579	0	23	0	23	47	0	0	63	301	0	644	7	38	14	0	0	0	0	0	227	105	0	0	0	0	254	50	121	122	98	0	71	0	0	0	0	49	38	63	0	128	0	456	235	301	0	0	35	12	96	0	0	0	38	172	142	0	4	0	0	10	11	8	0	0	0	8	126	3	119	789	48	0	0	37	72	192	9	0	0	286	0	52	0	400	57	146	199	17	642	86	87	0	0	0	0	2	26	15	0	60	0	0	31	100	0	179	7	18	0	336	0	60	162	850	0	0	0	18	23	13	0	0	0	0	236	0	0	1123	0	0	0	31	482	0	51	0	15	96	42	0	7	21	488	0	0	619	73	0	20	32	0	0	60	301	81	0	0	174	0	492	0	0	354	0	13	0	0	33	0	147	0	38	0	91	0	0	0	18	391	0	0	58	12	0	27	0	113	0	0	0	0	0	0	0	4	0	136	87	6	0	0	0	50	9	3	96	0	3108	1936	0	10	0	1	0	44	28	0	145	625	24	197	19	0	41	68	17	0	47	0	0	0	73	19	61	0	0	7	0	411	0	0	0	17	0	32	N0_C	N0	C
R39	584	107	694	169	0	0	0	45	24	12	0	74	173	0	255	0	0	0	44	110	12	30	231	7	48	0	175	34	11	10	114	0	0	17	0	10	39	134	0	0	8	48	118	0	128	46	108	129	142	38	63	118	0	620	30	11	0	0	129	0	0	109	397	0	613	10	39	13	0	0	0	14	0	252	37	0	0	6	4	218	62	199	89	37	0	69	0	0	0	0	0	46	115	78	88	0	415	344	496	0	0	0	0	269	0	0	0	100	206	143	0	14	0	0	48	10	36	0	0	0	0	395	3	199	902	66	0	13	48	54	194	7	0	0	353	0	32	0	492	38	125	223	13	1058	128	88	0	0	0	0	15	21	0	7	40	11	0	40	124	0	154	30	2	0	381	0	94	159	961	0	0	0	51	0	18	0	0	0	0	291	24	0	1126	0	0	14	27	604	0	41	0	0	252	83	0	43	60	613	0	0	814	57	0	28	124	0	25	70	381	206	0	0	240	57	578	0	0	492	0	31	0	0	43	0	0	0	17	14	52	0	0	0	0	458	0	3	47	6	0	69	0	79	0	58	0	0	0	23	0	30	0	172	43	0	0	0	0	44	14	23	207	0	4192	2129	0	10	0	0	0	146	62	0	128	832	131	181	7	0	39	72	107	0	10	0	13	0	8	36	122	0	0	5	0	342	42	22	0	217	0	59	N0_C	N0	C
R40	692	139	800	171	0	0	0	0	23	19	11	167	78	0	289	0	0	0	112	125	15	0	288	9	15	0	168	8	49	39	68	0	0	22	63	12	4	80	0	0	0	10	82	0	118	29	172	56	296	26	240	54	0	213	0	8	0	0	0	0	0	168	240	0	659	5	19	28	0	0	0	0	0	283	147	0	0	13	3	106	312	136	82	101	0	41	0	0	0	0	0	23	196	493	137	0	468	536	214	0	0	0	0	257	0	0	0	114	217	71	0	4	0	0	30	91	34	0	10	0	9	82	0	1583	766	27	0	0	10	55	230	7	0	0	313	0	21	40	823	19	36	167	0	1114	880	104	0	0	0	0	13	0	20	17	197	0	0	126	22	0	70	16	2	0	452	0	140	229	838	0	0	4	246	0	127	0	0	0	0	213	0	0	950	0	91	0	207	391	0	38	0	0	185	129	0	168	112	678	0	0	695	21	0	119	125	0	13	110	331	26	0	0	224	0	623	0	0	632	0	8	0	0	0	0	85	0	0	0	139	0	0	61	22	326	0	0	6	6	0	7	9	41	0	114	0	0	8	0	0	3	0	86	0	0	6	0	0	0	0	17	55	0	3033	1890	0	0	0	0	0	1259	108	0	514	825	213	224	0	0	163	31	297	0	0	0	7	0	22	120	54	0	0	4	0	364	32	116	0	61	759	14	N0_W	N0	W
R41	777	86	813	111	11	0	0	0	87	98	0	82	100	0	268	0	0	0	16	125	12	35	238	3	16	0	201	12	62	62	72	0	0	13	17	13	0	108	5	0	0	24	116	0	167	33	88	72	167	0	67	61	0	349	0	0	0	0	80	0	0	88	297	0	715	0	8	78	0	0	0	53	0	385	52	0	0	0	0	143	114	148	141	82	9	81	0	0	0	0	22	37	226	85	66	0	467	426	458	0	0	40	0	188	2	0	0	104	136	113	0	8	0	0	0	30	25	0	13	0	0	201	0	373	853	51	0	0	15	50	194	9	0	0	241	0	0	0	501	12	87	201	0	1009	390	84	0	0	0	0	0	0	0	0	43	0	0	124	114	0	176	72	19	0	343	0	117	171	650	0	0	0	121	0	0	0	0	0	0	310	0	104	921	0	19	0	44	417	0	48	0	0	148	105	0	31	81	675	0	0	766	91	0	93	126	0	11	52	300	279	5	0	271	121	549	0	0	326	0	0	33	0	34	0	0	0	12	8	111	0	0	0	0	403	18	3	84	0	0	32	0	52	0	109	0	36	0	28	0	9	0	95	47	0	0	0	0	33	10	19	108	0	3418	1873	0	19	0	0	0	205	71	0	339	877	107	179	0	0	120	17	255	0	53	0	10	0	0	55	68	0	0	8	0	397	124	0	0	191	0	30	N0_W	N0	W
R42	361	6	623	95	0	0	0	0	26	0	0	96	78	0	176	0	0	0	26	83	0	0	127	11	17	0	170	0	33	15	39	0	0	0	0	0	0	77	8	0	0	7	47	0	74	49	111	31	132	0	58	17	6	297	0	0	0	0	41	0	0	74	255	0	336	0	7	24	0	36	0	16	0	174	76	0	0	0	0	101	56	77	16	77	0	27	0	0	0	0	0	9	154	0	44	0	358	175	337	0	0	0	0	148	0	6	0	83	139	64	14	6	0	0	0	47	21	0	0	0	0	76	0	584	582	25	0	0	11	39	128	7	0	0	183	0	25	0	436	10	43	104	0	648	166	24	0	0	0	0	69	0	0	32	38	0	0	63	109	0	163	0	12	0	174	0	73	102	483	0	0	0	58	0	35	0	0	5	0	259	17	0	789	0	23	16	72	287	0	40	0	0	25	50	0	37	30	370	0	0	539	17	0	39	65	0	33	30	220	42	4	0	137	27	362	0	0	243	0	0	26	0	0	0	0	0	0	3	34	0	0	26	0	216	0	2	56	0	0	56	0	25	0	0	0	0	0	11	10	22	1	93	0	0	0	0	0	53	0	7	64	0	2593	1686	0	0	0	0	0	472	44	7	250	471	109	134	0	0	63	36	164	0	0	0	0	0	75	34	75	0	0	3	0	443	22	28	0	22	468	58	N0_W	N0	W
R43	834	142	520	167	10	0	0	109	14	102	16	99	144	0	424	0	0	0	26	165	0	47	269	20	47	28	217	78	18	29	150	0	0	14	0	21	0	149	0	0	0	28	162	0	148	10	167	173	190	24	35	123	15	773	0	17	0	0	106	0	0	235	460	0	790	7	50	25	0	0	0	46	0	324	121	0	12	12	0	378	157	194	76	76	1	91	0	0	0	0	0	46	193	0	157	0	531	590	497	0	0	0	0	308	0	1	0	62	162	205	15	21	5	0	51	0	0	0	0	0	0	288	8	163	960	62	0	17	0	0	228	11	0	0	393	0	17	0	371	49	129	183	10	966	212	40	2	0	0	0	35	25	20	7	35	0	0	66	123	0	124	32	10	0	477	0	91	164	1144	0	0	0	157	0	33	0	0	0	0	352	19	0	1269	0	27	0	19	630	0	92	0	10	138	189	0	39	133	890	0	0	1035	38	0	31	175	0	12	57	444	288	1	0	203	0	747	0	0	668	5	9	28	0	46	0	0	0	28	0	129	0	0	14	0	492	10	0	109	11	0	47	0	69	0	115	0	0	17	4	0	13	0	73	92	0	0	0	0	130	6	18	85	0	3914	2189	0	21	0	0	0	191	71	0	203	1030	264	141	18	0	103	83	173	0	9	0	4	0	70	84	51	0	0	8	0	393	17	12	0	216	23	61	N0_W	N0	W
