sample	treatment	Group1	Group2
R34	N0_C	N0	C
R35	N0_C	N0	C
R36	N0_C	N0	C
R37	N0_C	N0	C
R38	N0_C	N0	C
R39	N0_C	N0	C
R40	N0_W	N0	W
R41	N0_W	N0	W
R42	N0_W	N0	W
R43	N0_W	N0	W
R44	N0_W	N0	W
R45	N0_W	N0	W
R46	N5_C	N5	C
R47	N5_C	N5	C
R48	N5_C	N5	C
R49	N5_C	N5	C
R50	N5_C	N5	C
R51	N5_C	N5	C
R52	N10_C	N10	C
R53	N10_C	N10	C
R54	N10_C	N10	C
R55	N10_C	N10	C
R56	N10_C	N10	C
R57	N10_C	N10	C
R58	N15_C	N15	C
R59	N15_C	N15	C
R60	N15_C	N15	C
R61	N15_C	N15	C
R62	N15_C	N15	C
R63	N15_C	N15	C
R64	N5_W	N5	W
R65	N5_W	N5	W
R66	N5_W	N5	W
R67	N5_W	N5	W
R68	N5_W	N5	W
R69	N5_W	N5	W
R70	N10_W	N10	W
R71	N10_W	N10	W
R72	N10_W	N10	W
R73	N10_W	N10	W
R74	N10_W	N10	W
R75	N10_W	N10	W
R76	N15_W	N15	W
R77	N15_W	N15	W
R78	N15_W	N15	W
R79	N15_W	N15	W
R80	N15_W	N15	W
R81	N15_W	N15	W
